name,street,postcode,city,latitude,longitude,profiles
Arkkitehtuuritoimisto Arsatek Oy,Possijärvenkatu 1,33400,Tampere,61.517688,23.6632068,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtuuritoimisto+Arsatek+Oy/Tampere/yhteystiedot/116620
Kakadu,Kaikukatu 2 C,00530,Helsinki,60.1831578,24.9585399,https://www.finder.fi/Sisustusarkkitehtitoimisto/Kakadu/Helsinki/yhteystiedot/1240703
Arkkitehtitoimisto Jorma Paloranta Oy,Kyöstintie 29,84100,Ylivieska,60.7715377,26.795267,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Jorma+Paloranta+Oy/Ylivieska/yhteystiedot/125732
Arkkitehtitoimisto Jorma Paloranta Oy,Läntinen kirkkokatu 5,67100,Kokkola,63.836651599999996,23.127628993368567,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Jorma+Paloranta+Oy/Kokkola/yhteystiedot/1833155
Arkkitehtuuritoimisto Jaakko Nieminen Oy,Alinenkatu 43,37100,Nokia,61.1231846,21.510432,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtuuritoimisto+Jaakko+Nieminen+Oy/Nokia/yhteystiedot/116524
Suunnittelu- ja Piirustuspalvelu A Heikkinen Oy,Kintastie 4,87700,Kajaani,65.0257632,25.5297547,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Suunnittelu-+ja+Piirustuspalvelu+A+Heikkinen+Oy/Kajaani/yhteystiedot/3149733
Arkyhtymä Oy,Viipurintie 45,15150,Lahti,60.975027499999996,25.695968264622415,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkyhtym%C3%A4+Oy/Lahti/yhteystiedot/125983
Ajan Arkkitehdit Oy,Raatihuoneenkatu 19 B,5.,"kerros, 13100 Hämeenlinna",60.9959714,24.4642564,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Ajan+Arkkitehdit+Oy/H%C3%A4meenlinna/yhteystiedot/351431
Suunnittelutalo PPG Oy,Virtaintie 17,34800,Virrat,60.1925301,24.9566247,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Suunnittelutalo+PPG+Oy/Virrat/yhteystiedot/1665661
Arkitektbyrå R. Wingren Ab,Villavägen 8,68580,Larsmo,58.60868,11.4741399,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkitektbyr%C3%A5+R+Wingren+Ab/Larsmo/yhteystiedot/403874
